STT,SBD,MA_TINH,TOAN,VAN,LI,HOA,SINH,SU,DIA,KTPL,T_ANH,A00,A01,B00,C00,D01
570614,28000256,28,3.85,6.75,6.1,,,,,,5.75,,15.7,,,16.35
570615,28000257,28,8.0,7.5,6.25,,,,,,5.25,,19.5,,,20.75
570616,28000258,28,4.75,7.75,,,,6.75,,,6.25,,,,,18.75
570617,28000259,28,3.5,8.5,,,,,8.0,8.75,,,,,,
570618,28000260,28,8.0,8.25,7.75,,,,,,5.75,,21.5,,,22.0
570619,28000261,28,7.25,7.0,7.5,,,,,,7.75,,22.5,,,22.0
570620,28000262,28,7.25,6.75,7.25,6.85,,,,,,21.35,,,,
570621,28000263,28,5.75,8.25,,,,6.75,,,5.25,,,,,19.25
570622,28000264,28,4.1,6.0,,,,,5.75,7.5,,,,,,
570623,28000265,28,9.0,7.5,9.0,7.5,,,,,,25.5,,,,
570624,28000266,28,6.5,9.25,,,,,8.75,9.5,,,,,,
570625,28000267,28,8.5,8.5,,,,7.0,,,7.25,,,,,24.25
570626,28000268,28,3.6,6.75,4.2,,,5.1,,,,,,,,
570627,28000269,28,1.45,6.5,,,,4.75,,8.0,,,,,,
570628,28000270,28,8.5,8.75,9.75,8.5,,,,,,26.75,,,,
570629,28000271,28,6.1,6.5,7.75,,,,,,7.75,,21.6,,,20.35
570630,28000272,28,5.25,7.0,,7.0,7.0,,,,,,,19.25,,
570631,28000273,28,7.0,6.5,9.25,,,,,,6.0,,22.25,,,19.5
570632,28000274,28,7.5,8.0,6.6,,,,,,7.25,,21.35,,,22.75
570633,28000275,28,7.25,8.5,7.0,,,,,,5.5,,19.75,,,21.25
570634,28000276,28,2.5,7.5,,,,,4.75,8.75,,,,,,
570635,28000277,28,5.0,8.0,5.5,,,,,,10.0,,20.5,,,23.0
570636,28000278,28,8.5,7.5,10.0,,,,,,5.25,,23.75,,,21.25
570637,28000279,28,3.0,7.5,,,,5.0,,7.0,,,,,,
570638,28000280,28,6.0,7.75,,,,6.85,,,4.25,,,,,18.0
570639,28000281,28,5.0,8.25,,,,7.6,,8.25,,,,,,
570640,28000282,28,6.5,5.75,8.75,,,,,,4.25,,19.5,,,16.5
570641,28000283,28,3.85,6.5,,,,,6.6,8.25,,,,,,
570642,28000284,28,5.25,7.0,,,,5.25,3.25,,,,,,15.5,
570643,28000285,28,7.25,8.25,7.5,,,,,,5.75,,20.5,,,21.25
570644,28000286,28,5.0,8.0,,,4.85,,,,5.25,,,,,18.25
570645,28000287,28,7.75,7.25,7.5,,,,,,,,,,,
570646,28000288,28,7.0,7.0,5.1,,,,,,6.0,,18.1,,,20.0
570647,28000289,28,4.25,7.0,,,,7.0,,,5.25,,,,,16.5
570648,28000290,28,5.1,6.5,,,,,6.5,,7.5,,,,,19.1
570649,28000291,28,6.5,7.5,4.85,5.5,,,,,,16.85,,,,
570650,28000292,28,8.5,6.0,9.75,,,,,,6.0,,24.25,,,20.5
570651,28000293,28,7.1,6.75,6.6,7.25,,,,,,20.95,,,,
570652,28000294,28,2.35,6.75,5.75,,,5.0,,,,,,,,
570653,28000295,28,7.5,8.5,,,,7.25,,,6.75,,,,,22.75
570654,28000296,28,9.0,6.25,8.75,9.0,,,,,,26.75,,,,
570655,28000297,28,2.7,5.5,,,,,5.5,8.0,,,,,,
570656,28000298,28,7.25,8.5,6.25,,,,,,7.25,,20.75,,,23.0
570657,28000299,28,2.5,6.75,,,4.85,4.25,,,,,,,,
570658,28000300,28,7.0,8.0,5.85,,,,,,4.0,,16.85,,,19.0
570659,28000301,28,5.75,8.0,6.5,,,,,,4.25,,16.5,,,18.0
570660,28000302,28,7.0,8.0,,,,6.5,,,6.0,,,,,21.0
570661,28000303,28,1.95,7.25,,,,5.0,,6.0,,,,,,
570662,28000304,28,7.25,8.0,6.75,,,,,,3.0,,17.0,,,18.25
570663,28000305,28,5.85,8.75,,,,9.75,,,6.0,,,,,20.6
570664,28000306,28,5.5,8.25,,,,,6.5,,6.5,,,,,20.25
570665,28000307,28,5.5,8.5,7.75,4.0,,,,,,17.25,,,,
570666,28000308,28,2.25,8.5,,,,5.25,,8.5,,,,,,
570667,28000309,28,8.0,8.0,7.5,,,,,,5.0,,20.5,,,21.0
570668,28000310,28,6.75,7.75,,,,7.75,,,5.75,,,,,20.25
570669,28000311,28,4.25,8.5,,,,8.5,9.75,,,,,,26.75,
570670,28000312,28,4.85,8.5,,,,5.75,,,4.75,,,,,18.1
570671,28000313,28,7.5,7.25,9.75,7.75,,,,,,25.0,,,,
570672,28000314,28,7.25,9.25,,,,,6.5,,6.5,,,,,23.0
570673,28000315,28,5.5,8.0,,,,8.0,,,4.5,,,,,18.0
570674,28000316,28,7.25,7.75,6.75,,,,,,4.75,,18.75,,,19.75
570675,28000317,28,8.5,7.5,9.25,,,,,,5.5,,23.25,,,21.5
570676,28000318,28,7.75,9.0,,,,,8.5,,8.5,,,,,25.25
570677,28000319,28,5.75,7.25,,,,,,9.0,5.5,,,,,18.5
570678,28000320,28,6.75,7.5,8.5,,,,,,6.25,,21.5,,,20.5
570679,28000321,28,8.0,7.25,9.0,,,,,,6.5,,23.5,,,21.75
570680,28000322,28,5.0,8.0,,,,7.25,6.75,,,,,,22.0,
570681,28000323,28,5.75,7.5,6.75,,,,,,4.75,,17.25,,,18.0
570682,28000324,28,4.75,7.5,,,,7.85,7.25,,,,,,22.6,
570683,28000325,28,2.1,6.0,,,,,5.75,8.0,,,,,,
570684,28000326,28,6.25,8.5,7.35,6.85,,,,,,20.45,,,,
570685,28000327,28,1.6,7.0,,,,,5.0,,3.0,,,,,11.6
570686,28000328,28,6.25,7.75,,,,8.5,,,7.25,,,,,21.25
570687,28000329,28,5.25,4.5,7.0,,,,,,6.5,,18.75,,,16.25
570688,28000330,28,9.25,8.0,8.75,8.75,,,,,,26.75,,,,
570689,28000331,28,8.0,7.0,7.75,4.6,,,,,,20.35,,,,
570690,28000332,28,1.6,5.0,,,,5.5,4.1,,,,,,14.6,
570691,28000333,28,6.1,8.25,,,,,5.6,,6.75,,,,,21.1
570692,28000334,28,3.5,5.0,,,,4.1,4.35,,,,,,13.45,
570693,28000335,28,3.25,8.0,,,,4.85,,,5.5,,,,,16.75
570694,28000336,28,8.0,5.75,8.5,6.5,,,,,,23.0,,,,
570695,28000337,28,4.75,8.0,5.1,,,,,,2.75,,12.6,,,15.5
570696,28000338,28,4.85,7.5,4.1,,,,,,3.25,,12.2,,,15.6
570697,28000339,28,2.85,5.5,,,,8.25,,9.0,,,,,,
570698,28000340,28,4.0,7.25,,,,4.85,,,3.5,,,,,14.75
570699,28000341,28,5.85,8.75,,,,7.75,,,5.75,,,,,20.35
570700,28000342,28,6.5,9.0,,,,8.0,,,7.25,,,,,22.75
570701,28000343,28,9.0,7.75,8.25,,,,,,6.0,,23.25,,,22.75
570702,28000344,28,6.0,7.0,8.5,6.5,,,,,,21.0,,,,
570703,28000345,28,9.5,8.0,8.75,,,,,,4.25,,22.5,,,21.75
570704,28000346,28,8.0,7.5,8.0,,,,,,4.0,,20.0,,,19.5
570705,28000347,28,2.5,8.0,4.6,,,5.5,,,,,,,,
570706,28000348,28,6.75,8.25,8.35,,,,,,6.0,,21.1,,,21.0
570707,28000349,28,7.5,8.0,7.5,,,,,,6.75,,21.75,,,22.25
570708,28000350,28,7.0,7.75,,,,9.25,,,4.25,,,,,19.0
570709,28000351,28,3.0,6.0,,,,6.75,,5.5,,,,,,
570710,28000352,28,9.0,7.0,,9.25,8.25,,,,,,,26.5,,
570711,28000353,28,3.25,5.5,,,,2.5,,5.35,,,,,,
570712,28000354,28,8.25,6.75,10.0,,,,,,7.0,,25.25,,,22.0
570713,28000355,28,6.25,9.0,,,,,6.75,,6.25,,,,,21.5
570714,28000356,28,1.6,6.25,,,,3.7,,,2.5,,,,,10.35
